,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate
153,Frisco ,TX,188452,200490,215060,6.38783350667544,7.267195371340216
168,Salt Lake City ,UT,200435,200567,213367,0.06585676154364258,6.381907292824842
27,Irvine ,CA,281732,287401,303956,2.012195987676231,5.760244397201123
162,McKinney ,TX,191748,199177,208487,3.8743559254855326,4.674234474864066
175,Bellevue ,WA,147064,148164,154647,0.7479736713267693,4.37555681542075
64,Hialeah ,FL,234941,233339,243208,-0.6818733213870717,4.229468712902686
140,Clarksville ,TN,156376,158146,164496,1.131887246124725,4.015277022498198
169,Alexandria ,VA,159069,159428,165748,0.22568822334961555,3.964171914594676
67,Miami ,FL,462819,467963,486388,1.1114496163727072,3.9372770924197
176,Seattle ,WA,742235,753675,783137,1.5412908310710218,3.9091120177795466
138,Sioux Falls ,SD,180398,183793,190519,1.881949910752891,3.65955177835935
74,Tampa ,FL,397232,399700,413704,0.6212993917911951,3.503627720790593
111,Jersey City ,NJ,263851,262075,271099,-0.6731071703347723,3.4432891347896595
167,Waco ,TX,137886,139236,144015,0.9790696662460293,3.4323019908644317
75,Atlanta ,GA,498183,506811,523738,1.7318937017120215,3.3399038300273673
132,Eugene ,OR,170701,172622,178329,1.1253595468099191,3.306067592774965
134,Salem ,OR,172646,174365,179944,0.995679019496542,3.1996100134774754
107,Henderson ,NV,309518,320189,330084,3.447618555302115,3.0903622547932628
149,Dallas ,TX,1341802,1343573,1382270,0.13198668656031218,2.8801561210295237
4,Chandler ,AZ,257186,261165,268675,1.5471293149704883,2.8755767426722567
143,Murfreesboro ,TN,141442,146900,151066,3.85882552565716,2.835942818243703
